name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,subdir,tt_rank,tucker_rank,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2
moe_hd_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_hd,8,64,8,4,4,0.001,natural,token,relu,2,single,29896,5900,0.9996084189916788,0.9960845732184808,0.17160251671580548,0.22799861851201547,176.69762802124023,runs,16,32,0.0,0.0,1.2824341067413407,1.2025491410372018
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,16,256,8,4,4,0.001,natural,token,relu,0,single,78480,2100,1.0,1.0,2.1744565787527764e-05,0.00016838972607719405,226.1741442680359,runs,16,32,0.0,0.0,1.3607409839034874,1.291582543266082
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tt,16,256,8,4,4,0.001,natural,token,relu,1,single,78480,2000,1.0,1.0,2.8543820494363777e-05,0.0001874799222430869,225.47831201553345,runs,16,32,0.0,0.0,1.3672989808511358,1.2930147795177158
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tt,16,256,8,4,4,0.001,natural,token,relu,2,single,78480,2000,1.0,1.0,2.2400936774628686e-05,0.0002487640457407235,225.59683918952942,runs,16,32,0.0,0.0,1.3555834098246506,1.2858511883815347
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,0,single,97296,2000,1.0,1.0,1.777351546232104e-06,6.421566149548058e-06,234.33219814300537,runs,16,32,0.0,0.0,1.3253043680876664,1.308804201756753
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,1,single,97296,2800,1.0,1.0,1.2696956567433436e-06,4.304178021177241e-06,234.16836667060852,runs,16,32,0.0,0.0,1.3382470350648645,1.3107100142804502
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,2,single,97296,2700,1.0,1.0,2.9115586181919307e-06,7.1528447192445245e-06,234.3106701374054,runs,16,32,0.0,0.0,1.3521049072621283,1.3142974404032466
moe_tt_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,4,16,8,4,4,0.001,natural,token,relu,0,single,64368,1200,1.0,0.9561472200469852,2.9643769164004866e-06,0.1698045125676023,150.96385216712952,runs,16,32,0.0,0.0,1.2705203685458764,1.251342572063518
moe_tt_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tt,4,16,8,4,4,0.001,natural,token,relu,1,single,64368,1000,1.0,0.9976507439310884,2.660059720657062e-06,0.004849663915910475,151.6029462814331,runs,16,32,0.0,0.0,1.2605152447358658,1.2619033807016165
moe_tt_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tt,4,16,8,4,4,0.001,natural,token,relu,2,single,64368,1700,1.0,0.9420516836335161,3.5479325642494727e-06,0.29264481439194645,154.32496523857117,runs,16,32,0.0,0.0,1.2728567904355765,1.2565407110311775
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,0,single,134928,4700,1.0,1.0,1.3887956537893457e-06,3.4961149318197694e-06,317.7200839519501,runs,16,32,0.0,0.09375,1.3512153123873814,1.3498171453552879
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,1,single,134928,5200,1.0,1.0,1.2761720411052789e-06,4.154206643766412e-06,318.17852687835693,runs,16,32,0.0,0.0,1.3536859491024724,1.349755833400837
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,2,single,134928,3800,1.0,1.0,9.062981786415149e-06,1.9516460393309685e-05,317.49566650390625,runs,16,32,0.0,0.46875,1.3763030939686969,1.3507964611053467
moe_tt_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,8,64,8,4,4,0.001,natural,token,relu,0,single,69072,1100,1.0,0.9960845732184808,0.0009325200532268089,0.013920863905079961,194.49683809280396,runs,16,32,0.0,0.0,1.3597895881285522,1.3226751494644784
moe_tt_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tt,8,64,8,4,4,0.001,natural,token,relu,1,single,69072,1400,1.0,0.995301487862177,0.002295149452127316,0.02618098725727413,195.59801030158997,runs,16,32,0.0,0.0,1.3623734008772035,1.3189741239746395
moe_tt_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tt,8,64,8,4,4,0.001,natural,token,relu,2,single,69072,2800,1.0,1.0,0.00025352409991107034,0.0017164233333913255,195.69094681739807,runs,16,32,0.0,0.0,1.3591267516818581,1.333733076132103
moe_tucker_n16_m8_h4_k4_lam0.001_interleave_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,interleave,token,relu,0,single,287968,5100,1.0,0.9976507439310884,4.010675543380379e-05,0.00661294723546589,494.7640426158905,runs,16,32,0.0,0.0,1.3578759427451146,1.3548053562412417
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.4_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,287968,6300,1.0,1.0,6.52171395713217e-07,2.203242980442662e-06,248.7468719482422,runs,16,32,0.0,0.0,1.2796016987922263,1.272914011174636
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.6_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,287968,800,1.0,1.0,7.258350803481429e-07,9.32920664350503e-07,363.2248215675354,runs,16,32,0.0,0.0,1.270453431143422,1.2668622574293489
